lat,lon
-22.419087237631015,-46.96599389261062
-22.41942889778252,-46.96443552113766
-22.41960653191902,-46.96290661025968
-22.419930906705183,-46.960475391506286
-22.41972518277874,-46.958233052967024
-22.41988654315509,-46.95556867543677
-22.419377341957258,-46.9553464083325
-22.418401220359662,-46.95526367743152
-22.416209327693736,-46.9543040711457
-22.414412448141636,-46.952875338924734
-22.411803729335407,-46.95069940367732
-22.409168772354587,-46.95088815650508
-22.40572048925407,-46.95094247548952
-22.40394609664624,-46.95058034892663
-22.40325976883251,-46.950218222328886
-22.402958453142197,-46.94911373631211
