lat,lon
-23.231797,-45.901300
-23.231789,-45.901288
-23.231759,-45.901184
-23.231742,-45.900950
-23.231753,-45.900865
-23.231760,-45.900794
-23.231779,-45.900654
-23.231763,-45.900546
-23.231764,-45.900465
-23.231765,-45.900389
-23.231766,-45.900285
-23.231865,-45.900184
-23.231866,-45.900125
-23.231867,-45.900100
-23.231868,-45.900089
-23.231863,-45.900020
